bio,date,device,followers,following,location,query_type,screen_name,tweet
"b""'My way of joking is to tell the truth. That's the funniest joke in the world.'  -- Muhammad Ali #Neurodiversity. Was for #Hickenlooper2020.""",Tue Feb 18 07:15:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1595.0,1631.0,Colorado,Bloomberg,b'MattLabor',"b""It took me about 70 minutes, a diet coke, and a bag of funions to confirm that a friend of a friend had 'a lot going on' and was better off avoiding.\n\nWhy was Bloomberg unable to do that with Trump or Epstein, even after their accusations were public?"""
b'Leftist (never a Liberal) \xf0\x9f\x8c\xb9 Bernie4\xf0\x9f\x91\x91 he/him \xf0\x9f\x9a\xa9\xf0\x9f\x8f\xb4 #Medicare4AllRegardlessOfWhatTheyWant #AllCatsAreBeautiful #TantricCentrism #ComitteForPublicSafety2020',Tue Feb 18 00:58:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",695.0,1261.0,,Buttigieg,b'Maldroid1',"b'""Right now, I\'m here because Bloomberg Philanthropies has convened 40 mayors from around the world in a partnership with Harvard to help us all get better at our jobs..."" - Pete Buttigieg, 2017 https://t.co/wEe4VomhKU'"
"b'Christian, Bridal Shop Owner for 30yrs\nVanity Designer \xf0\x9f\x99\x8f\xe2\x9a\x98\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x92\x9c'",Mon Feb 17 08:13:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",867.0,180.0,,Bloomberg,b'crafternut',"b""You'll endorse Bloomberg if he steals the nomination from you, just like you endorsed Hillary when she did it in 2016.  You're a fraud.  And a moron. https://t.co/ItGrnzyIgC"""
b'',Mon Feb 17 18:39:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6606.0,7271.0,,Warren,b'KenJone56612075',"b""A little-known fact about Elizabeth Warren: She started waiting tables at age 13 to help her family make ends meet after her father suffered a heart attack. She understands the struggle working-class Americans go through because she's experienced it firsthand."""
b'',Tue Feb 18 07:27:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.0,23.0,,Biden,b'OffenseOf',"b""@CNN When asked about the endorsement, Biden replied that he liked Madonna and would to sniff Lola's hair."""
b'Liberal Democrat Love for the Earth and all People living on it! Social Justice and Tax Fairness and #NeverBernie#BLACKLIVESMATTER #SheWon',Tue Feb 18 14:42:12 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3951.0,4965.0,,Sanders,b'scarletsusieq',"b""Whew chile...did y'all see this Bernie Bro on Bro battle \xf0\x9f\x91\x8a\xf0\x9f\x91\x8a at a Sanders rally? On the same day Bloomberg released an ad about how out of control Bros are they totally proved his point. These Sanders rallies are becoming quite the side show now thanks to his own supporters \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/LMliaGfIxL https://t.co/aVgYstapu5"""
"b'\xe2\x80\x9cIn our obscurity, in all this vastness, there is no hint that help will come from elsewhere to save us from ourselves.\xe2\x80\x9d\n\nCeterum censeo Trumpinem esse delendam'",Mon Feb 17 15:32:05 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",735.0,1417.0,Netherlands - Europe,Biden,b'eeyoresmother',"b'All Trump has to do to win is get black people to stay home. Of course Russian bots are helping him out. \n\nBiden surges...\n     Bots, \xe2\x80\x9cHe\xe2\x80\x99s racist.\xe2\x80\x9d\n\nButtigieg surges\n     Bots, \xe2\x80\x9cHe\xe2\x80\x99s racist.\xe2\x80\x9d\n\nBloomberg sergers\n     Bots, \xe2\x80\x9cHe\xe2\x80\x99s racist.\xe2\x80\x9d\n\nAnd the media joins right in. \n\n#VoteBlue'"
"b""Hockey is cool\nI'm good for a joke\nNot just your typical\nMassachusetts born bloke\n*I block fake accounts*""",Tue Feb 18 15:26:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",198.0,318.0,Hills of western Mass,Bloomberg,b'itstomyall',b'Last night I had a dream that @realDonaldTrump invited me to an election party in Australia &amp; then had a roadblock set up so that Michael Bloomberg &amp; Bernie Sanders couldn\xe2\x80\x99t go. After that he challenged me to a pickup basketball.'
"b'Lover of movies, games, & gabbing. Also kitties. Bi. Co-host of @DeadRingersPod. Bylines at @BDisgusting @DailyDeadNews @thisisgrimmag @talkfilmsoc Fangoria+'",Tue Feb 18 14:34:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2951.0,1227.0,"Seattle, WA",Warren,b'Horrorellablog',"b"".@nytimes burying an article about Warren's erasure under an enormous photo of Bloomberg on their front page today is a beautiful bouquet of sexism and capitalism. https://t.co/f7zmBB41aZ"""
b'Bylines in various spots. Currently U.S. correspondent for @Mondoweiss. Marcus Smart Stan. michael@mondoweiss.net',Tue Feb 18 15:24:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3466.0,3693.0,"Austin, TX",Klobuchar,b'michaelarria',"b'Amy Klobuchar is scrambling to fill jobs like ""Nevada operations director."" With no campaign bus in NV, staffers drove the one in NH 2,700 miles to get there. @AnnieLinskey @wpjenna @Hollybdc on a campaign seeking to turn a magic moment into something more https://t.co/hgMmHwNrcc'"
b'',Fri Feb 14 17:53:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",217.0,306.0,,Warren,b'bebesee3',"b'Meet your CLE requirements with smart, constitutional conversations!\n \nCredit is available for in-person #AmericasTownHall programs on election law, the legacy of the Warren Court, and a look back at Plessy v. Ferguson.'"
b'the game is the game. always. \xf0\x9f\x8c\xb9',Tue Feb 18 15:26:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2481.0,1243.0,out here,Bloomberg,b'rynej__',b'mike bloomberg is not okay and neither is being 5\xe2\x80\x998\xe2\x80\x9d https://t.co/wLpHNp2Izk'
"b'\xf0\x9f\x92\x96\xf0\x9f\x92\x9c\xf0\x9f\x92\x99 I mainly tweet about politics, TV, random history/pop culture, and astrology |\xe2\x99\x92\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f|\xe2\x99\x89\xef\xb8\x8f\xf0\x9f\x8c\x99|\xe2\x99\x8d\xef\xb8\x8f\xe2\xac\x86\xef\xb8\x8f INFP'",Mon Feb 17 19:09:36 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",505.0,954.0,"Atlanta, GA",Buttigieg,b'sbsestra',b'There are no Biden Bros. \nThere are no Warren Bros\nThere are no Klobuchar Bros.\nThere are no Buttigieg Bros. \nThere were no Booker Bros\nThere were no Harris Bros\nThere were no Yang Bros\nThere were no Bennett Bros\nThere were no Delaney Bros\n\nNone. Not a one.'
b'#NoCapes #SinglePayer #MedicareForAll #Warren2020 #BigStructuralChange',Fri Feb 14 18:58:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",874.0,2073.0,,Sanders,b'Fzzyalien',b'This data is fascinating because it flies in the face of a certain conventional wisdom that the field is: Sanders vs The Moderates. Not really how it works! In fact this suggests the best chance to \xe2\x80\x9cStop Sanders\xe2\x80\x9d is...Elizabeth Warren! https://t.co/uldq6B1i9C'
